date,title,release_date,platform,subsidiary,account,distributor,units_sold,weeks_before_launch,preorder_status
2022-12-17,God of Rock: Deluxe Edition,2023-04-18,Nintendo Switch,US,Best Buy,U&I,15.0,18,Current
2022-12-10,God of Rock: Deluxe Edition,2023-04-18,Nintendo Switch,US,Best Buy,U&I,17.0,19,Current
2022-12-03,God of Rock: Deluxe Edition,2023-04-18,Nintendo Switch,US,Best Buy,U&I,15.0,20,Current
2022-11-26,God of Rock: Deluxe Edition,2023-04-18,Nintendo Switch,US,Best Buy,U&I,15.0,21,Current
2022-11-05,God of Rock: Deluxe Edition,2023-04-18,Nintendo Switch,US,Best Buy,U&I,15.0,24,Current
2022-10-29,God of Rock: Deluxe Edition,2023-04-18,Nintendo Switch,US,Best Buy,U&I,15.0,25,Current
2023-04-08,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,Amazon UK,,16.0,2,Current
2023-04-08,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Shop Direct,Centresoft,15.0,2,Current
2023-01-21,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Smyths Toys,,15.0,13,Current
2023-01-14,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Smyths Toys,,15.0,14,Current
2023-01-07,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Smyths Toys,,15.0,15,Current
2022-12-31,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Smyths Toys,,15.0,16,Current
2022-12-24,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Smyths Toys,,15.0,17,Current
2022-12-17,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Smyths Toys,,16.0,18,Current
2023-04-15,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Shop Direct,Centresoft,15.0,1,Current
2023-04-01,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Shop Direct,Centresoft,15.0,3,Current
2023-03-25,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Shop Direct,Centresoft,15.0,4,Current
2023-03-18,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Shop Direct,Centresoft,15.0,5,Current
2023-03-11,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Shop Direct,Centresoft,15.0,6,Current
2023-03-04,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Shop Direct,Centresoft,15.0,7,Current
2023-04-15,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Indie,Centresoft,44.0,1,Current
2023-04-08,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Indie,Centresoft,15.0,2,Current
2023-01-28,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Smyths Toys,,15.0,12,Current
2023-02-04,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Smyths Toys,,15.0,11,Current
2023-01-28,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,The Very Group,Centresoft,16.0,12,Current
2023-02-04,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,The Very Group,Centresoft,15.0,11,Current
2023-03-25,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Amazon France,Just for Games,15.0,4,Current
2023-03-18,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Amazon France,Just for Games,15.0,5,Current
2023-03-11,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Amazon France,Just for Games,15.0,6,Current
2023-03-04,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Amazon France,Just for Games,15.0,7,Current
2023-02-25,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Amazon France,Just for Games,15.0,8,Current
2023-02-18,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Amazon France,Just for Games,16.0,9,Current
2023-04-08,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,The Very Group,Centresoft,16.0,2,Current
2023-04-01,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,The Very Group,Centresoft,15.0,3,Current
2023-03-25,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,The Very Group,Centresoft,15.0,4,Current
2023-03-18,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,The Very Group,Centresoft,16.0,5,Current
2023-03-11,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,The Very Group,Centresoft,15.0,6,Current
2023-03-04,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,The Very Group,Centresoft,16.0,7,Current
2023-02-25,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,The Very Group,Centresoft,15.0,8,Current
2023-02-18,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,The Very Group,Centresoft,16.0,9,Current
2023-02-11,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,The Very Group,Centresoft,15.0,10,Current
2022-10-22,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Gamestop Italy,4SIDE,16.0,26,Current
2022-10-15,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Gamestop Italy,4SIDE,15.0,27,Current
2022-10-08,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Gamestop Italy,4SIDE,17.0,28,Current
2023-01-07,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,15.0,15,Current
2022-12-24,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,15.0,17,Current
2022-12-17,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,15.0,18,Current
2022-12-10,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,15.0,19,Current
2022-12-03,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,15.0,20,Current
2022-11-26,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,16.0,21,Current
2022-11-19,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,15.0,22,Current
2022-11-05,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,21.0,24,Current
2022-10-29,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,21.0,25,Current
2022-10-22,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,17.0,26,Current
2022-10-15,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,17.0,27,Current
2022-10-08,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,15.0,28,Current
2022-10-01,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,28.0,29,Current
2022-09-24,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,18.0,30,Current
2022-12-31,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,15.0,16,Current
2023-01-14,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,16.0,14,Current
2022-10-01,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Gamestop Italy,4SIDE,16.0,29,Current
2023-01-21,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,15.0,13,Current
2022-11-12,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Gamepeople Italy 4SIDE,4SIDE,15.0,23,Current
2022-10-22,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Gamepeople Italy 4SIDE,4SIDE,15.0,26,Current
2022-10-15,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Gamepeople Italy 4SIDE,4SIDE,15.0,27,Current
2022-10-08,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,Gamepeople Italy 4SIDE,4SIDE,16.0,28,Current
2023-04-15,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,16.0,1,Current
2023-04-08,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,18.0,2,Current
2023-04-01,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,15.0,3,Current
2023-03-25,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,15.0,4,Current
2023-03-18,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,16.0,5,Current
2023-03-11,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,15.0,6,Current
2023-03-04,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,15.0,7,Current
2023-02-25,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,15.0,8,Current
2023-02-18,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,15.0,9,Current
2023-02-11,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,16.0,10,Current
2023-02-04,God of Rock: Deluxe Edition,2023-04-18,PS5,UK/EU,GAME,U&I,15.0,11,Current
2023-04-01,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Amazon France,Just for Games,15.0,3,Current
2023-04-08,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Amazon France,Just for Games,15.0,2,Current
2023-04-15,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Amazon France,Just for Games,15.0,1,Current
2022-12-31,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,17.0,16,Current
2022-12-10,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,15.0,19,Current
2022-12-03,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,15.0,20,Current
2022-11-26,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,15.0,21,Current
2022-11-19,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,15.0,22,Current
2022-11-12,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,15.0,23,Current
2022-11-05,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,15.0,24,Current
2022-10-22,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,17.0,26,Current
2022-10-15,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,15.0,27,Current
2023-04-08,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,The Very Group,Centresoft,15.0,2,Current
2023-04-01,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,The Very Group,Centresoft,15.0,3,Current
2023-03-25,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,The Very Group,Centresoft,15.0,4,Current
2023-03-18,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,The Very Group,Centresoft,15.0,5,Current
2023-03-11,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,The Very Group,Centresoft,15.0,6,Current
2023-03-04,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,The Very Group,Centresoft,15.0,7,Current
2023-02-25,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,The Very Group,Centresoft,15.0,8,Current
2022-12-17,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,15.0,18,Current
2023-01-07,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,15.0,15,Current
2023-02-11,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,The Very Group,Centresoft,17.0,10,Current
2023-01-14,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,15.0,14,Current
2022-12-24,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,Amazon UK,,16.0,17,Current
2022-12-17,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,Amazon UK,,16.0,18,Current
2023-04-15,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,15.0,1,Current
2023-04-08,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,15.0,2,Current
2023-03-25,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,15.0,4,Current
2023-03-18,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,15.0,5,Current
2023-03-11,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,17.0,6,Current
2023-03-04,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,15.0,7,Current
2023-02-25,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,15.0,8,Current
2023-02-18,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,15.0,9,Current
2023-01-21,God of Rock: Deluxe Edition,2023-04-18,X1/XSX,UK/EU,,Astragon,15.0,13,Current
2023-02-04,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,The Very Group,Centresoft,15.0,11,Current
2022-10-29,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,16.0,25,Current
2023-02-25,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,8,Current
2023-02-11,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,10,Current
2023-02-04,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,11,Current
2023-01-28,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,12,Current
2023-01-21,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,13,Current
2023-01-14,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,14,Current
2023-01-07,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,15,Current
2022-12-31,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,16,Current
2022-12-24,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,17,Current
2022-12-17,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,18,Current
2022-12-10,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,19,Current
2022-12-03,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,20,Current
2022-11-26,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,21,Current
2022-11-19,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,22,Current
2022-11-12,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,23,Current
2022-11-05,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,24,Current
2023-02-18,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,9,Current
2023-03-04,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,7,Current
2023-01-28,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,The Very Group,Centresoft,16.0,12,Current
2023-03-11,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,6,Current
2023-04-15,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Shop Direct,Centresoft,15.0,1,Current
2023-04-08,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Shop Direct,Centresoft,15.0,2,Current
2023-04-01,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Shop Direct,Centresoft,15.0,3,Current
2023-03-25,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Shop Direct,Centresoft,15.0,4,Current
2023-03-18,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Shop Direct,Centresoft,15.0,5,Current
2023-03-11,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Shop Direct,Centresoft,15.0,6,Current
2023-03-04,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Shop Direct,Centresoft,15.0,7,Current
2023-04-15,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Micromania,Just for Games,16.0,1,Current
2023-04-15,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Indie,Centresoft,25.0,1,Current
2023-04-08,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Indie,Centresoft,15.0,2,Current
2023-04-15,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,1,Current
2023-04-08,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,2,Current
2023-04-01,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,3,Current
2023-03-25,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,4,Current
2023-03-18,God of Rock: Deluxe Edition,2023-04-18,X1,UK/EU,Argos Online,Centresoft,15.0,5,Current
2023-02-18,God of Rock: Deluxe Edition,2023-04-18,XSX,UK/EU,GAME,U&I,15.0,9,Current
2022-10-01,Kukoos: Lost Pets,2023-03-31,PS5,US,Amazon US,,15.0,26,Current
2022-11-05,Kukoos: Lost Pets,2023-03-31,PS5,US,Gamestop Canada,Solutions 2 Go,17.0,21,Current
2022-10-15,Kukoos: Lost Pets,2023-03-31,PS5,US,GameStop,,22.0,24,Current
2022-10-22,Kukoos: Lost Pets,2023-03-31,PS5,US,GameStop,,20.0,23,Current
2022-10-29,Kukoos: Lost Pets,2023-03-31,PS5,US,GameStop,,20.0,22,Current
2022-09-10,Kukoos: Lost Pets,2023-03-31,PS5,US,Gamestop Canada,Solutions 2 Go,16.0,29,Current
2022-09-17,Kukoos: Lost Pets,2023-03-31,PS5,US,Gamestop Canada,Solutions 2 Go,15.0,28,Current
2022-10-01,Kukoos: Lost Pets,2023-03-31,PS5,US,Gamestop Canada,Solutions 2 Go,17.0,26,Current
2022-10-08,Kukoos: Lost Pets,2023-03-31,PS5,US,Gamestop Canada,Solutions 2 Go,15.0,25,Current
2022-10-15,Kukoos: Lost Pets,2023-03-31,PS5,US,Gamestop Canada,Solutions 2 Go,15.0,24,Current
2022-10-22,Kukoos: Lost Pets,2023-03-31,PS5,US,Gamestop Canada,Solutions 2 Go,17.0,23,Current
2022-10-29,Kukoos: Lost Pets,2023-03-31,PS5,US,Gamestop Canada,Solutions 2 Go,15.0,22,Current
2022-10-15,Kukoos: Lost Pets,2023-03-31,X1,US,Amazon CA,,20.0,24,Current
2022-10-01,Kukoos: Lost Pets,2023-03-31,PS5,US,GameStop,,23.0,26,Current
2022-09-10,Kukoos: Lost Pets,2023-03-31,XSX,US,Amazon CA,,17.0,29,Current
2022-09-17,Kukoos: Lost Pets,2023-03-31,XSX,US,Amazon CA,,15.0,28,Current
2022-10-01,Kukoos: Lost Pets,2023-03-31,XSX,US,Amazon CA,,18.0,26,Current
2022-09-17,Kukoos: Lost Pets,2023-03-31,XSX,US,Amazon US,,20.0,28,Current
2022-09-24,Kukoos: Lost Pets,2023-03-31,XSX,US,Amazon US,,19.0,27,Current
2022-10-01,Kukoos: Lost Pets,2023-03-31,XSX,US,Amazon US,,15.0,26,Current
2022-10-08,Kukoos: Lost Pets,2023-03-31,XSX,US,Amazon US,,18.0,25,Current
2022-10-15,Kukoos: Lost Pets,2023-03-31,XSX,US,Amazon US,,16.0,24,Current
2022-10-22,Kukoos: Lost Pets,2023-03-31,XSX,US,Amazon US,,16.0,23,Current
2022-10-08,Kukoos: Lost Pets,2023-03-31,PS5,US,GameStop,,24.0,25,Current
2022-09-24,Kukoos: Lost Pets,2023-03-31,PS5,US,GameStop,,20.0,27,Current
2022-11-12,Kukoos: Lost Pets,2023-03-31,PS5,US,Best Buy,U&I,17.0,20,Current
2023-02-11,Kukoos: Lost Pets,2023-03-31,PS5,US,Amazon US,,16.0,7,Current
2023-02-18,Kukoos: Lost Pets,2023-03-31,PS5,US,Amazon US,,15.0,6,Current
2022-09-24,Kukoos: Lost Pets,2023-03-31,PS5,US,Best Buy,U&I,16.0,27,Current
2022-10-01,Kukoos: Lost Pets,2023-03-31,PS5,US,Best Buy,U&I,18.0,26,Current
2022-10-08,Kukoos: Lost Pets,2023-03-31,PS5,US,Best Buy,U&I,17.0,25,Current
2022-10-15,Kukoos: Lost Pets,2023-03-31,PS5,US,Best Buy,U&I,15.0,24,Current
2022-10-22,Kukoos: Lost Pets,2023-03-31,PS5,US,Best Buy,U&I,15.0,23,Current
2022-11-05,Kukoos: Lost Pets,2023-03-31,PS5,US,Best Buy,U&I,15.0,21,Current
2022-11-19,Kukoos: Lost Pets,2023-03-31,PS5,US,Best Buy,U&I,16.0,19,Current
2022-09-17,Kukoos: Lost Pets,2023-03-31,PS5,US,GameStop,,15.0,28,Current
2022-11-26,Kukoos: Lost Pets,2023-03-31,PS5,US,Best Buy,U&I,16.0,18,Current
2022-12-03,Kukoos: Lost Pets,2023-03-31,PS5,US,Best Buy,U&I,15.0,17,Current
2022-12-10,Kukoos: Lost Pets,2023-03-31,PS5,US,Best Buy,U&I,15.0,16,Current
2022-12-17,Kukoos: Lost Pets,2023-03-31,PS5,US,Best Buy,U&I,15.0,15,Current
2022-12-24,Kukoos: Lost Pets,2023-03-31,PS5,US,Best Buy,U&I,17.0,14,Current
2022-12-31,Kukoos: Lost Pets,2023-03-31,PS5,US,Best Buy,U&I,17.0,13,Current
2023-01-07,Kukoos: Lost Pets,2023-03-31,PS5,US,Best Buy,U&I,15.0,12,Current
2023-01-14,Kukoos: Lost Pets,2023-03-31,PS5,US,Best Buy,U&I,16.0,11,Current
2023-01-21,Kukoos: Lost Pets,2023-03-31,PS5,US,Best Buy,U&I,18.0,10,Current
2022-09-10,Kukoos: Lost Pets,2023-03-31,PS5,US,GameStop,,15.0,29,Current
2022-10-29,Kukoos: Lost Pets,2023-03-31,XSX,US,Amazon US,,16.0,22,Current
2022-11-12,Kukoos: Lost Pets,2023-03-31,XSX,US,Amazon US,,15.0,20,Current
2023-01-14,Operation Wolf Returns: First Mission - Day 1 Edition,2023-03-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,18.0,11,Catalog
2022-09-10,Kukoos: Lost Pets,2023-03-31,XSX,US,Gamestop Canada,Solutions 2 Go,15.0,29,Current
2022-09-17,Kukoos: Lost Pets,2023-03-31,XSX,US,Gamestop Canada,Solutions 2 Go,15.0,28,Current
2022-10-01,Kukoos: Lost Pets,2023-03-31,XSX,US,Gamestop Canada,Solutions 2 Go,15.0,26,Current
2022-10-08,Kukoos: Lost Pets,2023-03-31,XSX,US,Gamestop Canada,Solutions 2 Go,15.0,25,Current
2022-10-15,Kukoos: Lost Pets,2023-03-31,XSX,US,Gamestop Canada,Solutions 2 Go,15.0,24,Current
2022-10-22,Kukoos: Lost Pets,2023-03-31,XSX,US,Gamestop Canada,Solutions 2 Go,15.0,23,Current
2022-10-29,Kukoos: Lost Pets,2023-03-31,XSX,US,Gamestop Canada,Solutions 2 Go,16.0,22,Current
2022-11-05,Kukoos: Lost Pets,2023-03-31,XSX,US,Gamestop Canada,Solutions 2 Go,15.0,21,Current
2023-01-28,Operation Wolf Returns: First Mission - Day 1 Edition,2023-03-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,17.0,9,Catalog
2023-01-21,Operation Wolf Returns: First Mission - Day 1 Edition,2023-03-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,17.0,10,Catalog
2023-01-07,Operation Wolf Returns: First Mission - Day 1 Edition,2023-03-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,15.0,12,Catalog
2022-10-29,Kukoos: Lost Pets,2023-03-31,XSX,US,GameStop,,19.0,22,Current
2022-12-31,Operation Wolf Returns: First Mission - Day 1 Edition,2023-03-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,16.0,13,Catalog
2022-12-24,Operation Wolf Returns: First Mission - Day 1 Edition,2023-03-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,17.0,14,Catalog
2022-12-17,Operation Wolf Returns: First Mission - Day 1 Edition,2023-03-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,15.0,15,Catalog
2022-12-10,Operation Wolf Returns: First Mission - Day 1 Edition,2023-03-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,16.0,16,Catalog
2022-12-03,Operation Wolf Returns: First Mission - Day 1 Edition,2023-03-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,17.0,17,Catalog
2022-11-26,Operation Wolf Returns: First Mission - Day 1 Edition,2023-03-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,17.0,18,Catalog
2022-10-22,Operation Wolf Returns: First Mission - Day 1 Edition,2023-03-31,PS5,US,Gamestop Canada,Solutions 2 Go,17.0,23,Catalog
2022-10-29,Operation Wolf Returns: First Mission - Day 1 Edition,2023-03-31,PS5,US,Gamestop Canada,Solutions 2 Go,16.0,22,Catalog
2022-11-05,Operation Wolf Returns: First Mission - Day 1 Edition,2023-03-31,PS5,US,Gamestop Canada,Solutions 2 Go,21.0,21,Catalog
2022-11-12,Operation Wolf Returns: First Mission - Day 1 Edition,2023-03-31,PS5,US,Gamestop Canada,Solutions 2 Go,20.0,20,Catalog
2023-03-18,Kukoos: Lost Pets,2023-03-31,XSX,US,GameStop,U&I,15.0,2,Current
2022-10-22,Kukoos: Lost Pets,2023-03-31,XSX,US,GameStop,,19.0,23,Current
2023-02-11,Kukoos: Lost Pets,2023-03-31,XSX,US,Amazon US,,15.0,7,Current
2022-12-03,Kukoos: Lost Pets,2023-03-31,XSX,US,Amazon US,,15.0,17,Current
2022-12-24,Kukoos: Lost Pets,2023-03-31,XSX,US,Amazon US,,16.0,14,Current
2022-12-31,Kukoos: Lost Pets,2023-03-31,XSX,US,Amazon US,,15.0,13,Current
2023-01-07,Kukoos: Lost Pets,2023-03-31,XSX,US,Amazon US,,15.0,12,Current
2023-01-14,Kukoos: Lost Pets,2023-03-31,XSX,US,Amazon US,,15.0,11,Current
2023-02-04,Kukoos: Lost Pets,2023-03-31,XSX,US,Amazon US,,16.0,8,Current
2022-10-15,Kukoos: Lost Pets,2023-03-31,XSX,US,GameStop,,19.0,24,Current
2022-12-24,Kukoos: Lost Pets,2023-03-31,XSX,US,Best Buy,U&I,16.0,14,Current
2023-01-14,Kukoos: Lost Pets,2023-03-31,XSX,US,Best Buy,U&I,16.0,11,Current
2023-01-21,Kukoos: Lost Pets,2023-03-31,XSX,US,Best Buy,U&I,16.0,10,Current
2022-09-10,Kukoos: Lost Pets,2023-03-31,XSX,US,GameStop,,15.0,29,Current
2022-09-17,Kukoos: Lost Pets,2023-03-31,XSX,US,GameStop,,15.0,28,Current
2022-09-24,Kukoos: Lost Pets,2023-03-31,XSX,US,GameStop,,16.0,27,Current
2022-10-01,Kukoos: Lost Pets,2023-03-31,XSX,US,GameStop,,20.0,26,Current
2022-10-08,Kukoos: Lost Pets,2023-03-31,XSX,US,GameStop,,17.0,25,Current
2023-02-04,Kukoos: Lost Pets,2023-03-31,PS5,US,Amazon US,,15.0,8,Current
2023-01-21,Kukoos: Lost Pets,2023-03-31,PS5,US,Amazon US,,15.0,10,Current
2023-02-11,Operation Wolf Returns: First Mission - Day 1 Edition,2023-03-31,Nintendo Switch,US,Gamestop Canada,Solutions 2 Go,17.0,7,Catalog
